Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector
50000640;SIEMPRE SECO BASICO G (6X6UN);1001;3000;PAK;2888,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Siempre Seco;PH-Protector Incont.;Absorbentes
50000877;PHARSANA GEL ANTIBACTERIAL 2,8 L;1001;3000;CS;156,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Pharsana;PH-Gel Antibacterial;Cuidado Personal
50000884;ACTIVA PD PERD. OCASIONALES (12X40UN);1001;3000;PAK;282,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Activa;PH-Protector Diario;Absorbentes
50000899;AMY ACEITE PARA BEBES (10x220ML);1001;3000;CS;583,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Amy;PH-Aceite;Cuidado Personal
50000899;AMY ACEITE PARA BEBES (10x220ML);1000;3000;CS;0,00;0,000;1,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Amy;PH-Aceite;Cuidado Personal
50000902;AMY COLONIA PARA BEBES (10x220ML);1001;3000;CS;439,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Amy;PH-Colonia;Cuidado Personal
50000918;PHARSANA JABON ANTIBACTERIAL 20 LT;1001;3000;CS;0,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Pharsana;PH-Jabón Líquido;Cuidado Personal
50000921;SECUREZZA COMFORT M REG (6x6UN);1001;3000;PAK;322,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes
50000922;SECUREZZA COMFORT L REG (6x6UN);1001;3000;PAK;577,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes
50000951;SECUREZZA BC LOCION HIDRATAN (12x350ML);1000;3000;CS;0,00;0,000;0,667;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Securezza;PH-Loción;Cuidado Personal
50000951;SECUREZZA BC LOCION HIDRATAN (12x350ML);1001;3000;CS;273,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Securezza;PH-Loción;Cuidado Personal
50000953;SECUREZZA BC JABON LIQ CORPO (12x200ML);1001;3000;CS;89,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Securezza;PH-Jabón Líquido;Cuidado Personal
50000956;SECUREZZA BC TH CORPORALES (12x54UN);1001;3000;CS;565,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Securezza;PH-TH Flow Pack;Cuidado Personal
50000957;SECUREZZA PROTECTOR DE CAMA (6X10UN);1001;3000;PAK;1516,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector de Cama;Absorbentes
50000963;CHICCO BS CHAMPU CABELLONORMAL(10x200ML);1001;3000;CS;936,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1000;3000;CS;0,40;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1001;3000;CS;450,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
