Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50001097;SECUREZZA PANTS L (8X10);1001;3000;PAK;247,00;282824,88;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Pañal Pull Up;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001100;CHICCO CHAMPU ORIGINAL 400 ML;1000;3000;CS;802,00;726932,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001100;CHICCO CHAMPU ORIGINAL 400 ML;1001;3000;CS;1198,00;1085867,20;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001101;CHICCO CHAMPU MANZANILLA 400 ML;1000;3000;CS;210,00;188790,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001101;CHICCO CHAMPU MANZANILLA 400 ML;1001;3000;CS;1048,00;942152,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001102;CHICCO CHAMPU ROMERO 400 ML;1000;3000;CS;324,00;292280,40;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001102;CHICCO CHAMPU ROMERO 400 ML;1001;3000;CS;255,00;230035,50;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001103;CHICCO PROMO TALCO 200G + 100G GRATIS;1001;3000;CS;111,00;145600,92;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001106;FRIENDS PD REGULAR S/P (12X40);1001;3000;PAK;87,00;21475,08;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001107;FRIENDS PD REGULAR S/P (12X60);1001;3000;PAK;1729,00;519944,88;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001108;FRIENDS TS XTREME SEC REGULAR (12x14);1001;3000;PAK;184,00;63369,60;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001109;FRIENDS TS TELA REGULAR (12x14);1001;3000;PAK;238,00;81053,28;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001110;FRIENDS PD MANZANILLA (12X40);1001;3000;PAK;217,00;57209,88;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001111;FRIENDS TS NOCTURNA SIN ALAS (12X10);1001;3000;PAK;354,00;115545,60;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
