Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11003121;ETIQUETA DORSA CHICCO CHAMPU ORIG 100ML;1000;1000;ST;14846,00;24591,67;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003122;ETIQUETA FRONTA CHICCO CHAMPU ORIG 100ML;1000;1000;ST;14980,00;26881,44;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003123;ETIQ FRONT CHICCO GEL ANTIBACT 100ML;1000;1000;ST;18168,00;193740,75;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003124;ETIQ DORSA CHICCO GEL ANTIBACT 100ML;1000;1000;ST;18100,00;175910,99;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003126;ETIQ DORSA CHICCO CHAMPU MANZ 100ML;1000;1000;ST;637,00;813,41;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003128;ETIQ FRONT CHICCO CHAMPU MANZ 100ML;1000;1000;ST;632,00;757,51;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003129;ETIQ FRONT CHICCO LOCION 100ML;1000;1000;ST;10571,00;102434,85;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003130;ETIQ DORSAL CHICCO LOCION 100ML;1000;1000;ST;11002,00;101003,15;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003143;HOT MELT POSICIONADOR 2023;1002;1000;KG;2160,00;1070695,44;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003143;HOT MELT POSICIONADOR 2023;1002;2000;KG;591,15;293027,04;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003150;NT LAMINADO 62 CM 23GR/M2;1002;1000;M2;120904,35;2371066,74;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003150;NT LAMINADO 62 CM 23GR/M2;1002;2000;M2;44026,08;863399,66;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003151;NT LAMINADO  76 CM 23 GR/M2;1002;1000;M2;272852,17;4589574,76;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003151;NT LAMINADO  76 CM 23 GR/M2;1002;1005;M2;145560,87;2448441,27;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1005-MP Inv Seguridad;1002-Pharsana Higienico
11003151;NT LAMINADO  76 CM 23 GR/M2;1002;2000;M2;24204,35;407134,97;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003152;ESTUCHE P/COTTON CHICCO 60 PZA;1000;1000;ST;3400,00;14861,02;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003152;ESTUCHE P/COTTON CHICCO 60 PZA;1000;2000;ST;8052,00;35194,39;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1000-Pharsana Valencia
11003153;BOLSAS CHICCO MOTAS ALGODON 100;1000;1000;ST;15312,00;445753,04;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003154;ESTUCHE P/COTTON CHICCO 100 PZAS;1000;1000;ST;9418,00;162206,84;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003154;ESTUCHE P/COTTON CHICCO 100 PZAS;1000;1007;ST;11900,00;204954,48;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1007-Rechazado;1000-Pharsana Valencia
11003157;BOLSON PEBD 35X(4+4)X60 - 90MICRAS;1002;1000;ST;2486,00;115374,38;2850,000;132267,49;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003157;BOLSON PEBD 35X(4+4)X60 - 90MICRAS;1002;2000;ST;65,00;3016,63;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003161;ETIQUETAS RESELLABLES RIGIDA P/WIPES;1000;1000;ST;381800,00;3859298,95;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003166;ETIQUETA CHICCO PROMO COTONCITO 60P 3X2;1001;2003;ST;0,00;0,00;0,000;0,00;1316,000;3382,12;20.02.2026 - 22:03:31;ZEMP;2003-Semiterminados;1001-Pharsana Maracay
11003167;ETIQUETA CHICCO PROMO COTONCITO 100P 3X2;1001;2003;ST;0,00;0,00;0,000;0,00;1276,000;3279,32;20.02.2026 - 22:03:31;ZEMP;2003-Semiterminados;1001-Pharsana Maracay
11003180;BIL.SECUREZZA BODYCARE TH CORP 54P MATE;1000;1000;KG;202,60;262447,06;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003181;ESTUCHE CHICCO JABON EN BARRA 90 G;1000;1000;ST;74030,00;123736,70;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003182;BOLSA PD FRIENDS PROMOPACK 120/80 REG;1002;1006;ST;2000,00;4785,74;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1006-MP Obsoleto;1002-Pharsana Higienico
11003182;BOLSA PD FRIENDS PROMOPACK 120/80 REG;1002;2000;ST;1319,00;3156,19;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1002-Pharsana Higienico
11003184;NT FÍLICO BLANCO 17,5 CM  22 GR/M2;1002;1000;M2;25165,91;172081,14;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003184;NT FÍLICO BLANCO 17,5 CM  22 GR/M2;1002;2000;M2;2621,08;17922,58;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003187;ETIQUETA FRONTAL CHICCO TALCO 100GRS;1000;1000;ST;16378,00;115607,18;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003188;ETIQUETA DORSAL CHICCO TALCO 100G;1000;1000;ST;16460,00;99188,35;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
