Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50000951;SECUREZZA BODYCARE LOCION HIDRATAN 350ML;1001;3000;CS;421,00;303887,75;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Securezza;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000953;SECUREZZA BODYCARE JABON LIQ CORPO 200ML;1001;3000;CS;408,00;274611,36;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Securezza;PH-Jabón Líquido;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000955;SECUREZZA BC CREMA DERMO PROTECTORA 130G;1001;3000;CS;465,00;628436,34;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Securezza;PH-Crema Protectoras;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000956;SECUREZZA BODYCARE TH CORPORALES 54UN;1000;3000;CS;262,00;132927,33;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Securezza;PH-TH Flow Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000956;SECUREZZA BODYCARE TH CORPORALES 54UN;1001;3000;CS;231,00;151992,29;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Securezza;PH-TH Flow Pack;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000957;SECUREZZA PROTECTOR DE CAMA (6X10);1001;3000;PAK;487,00;251657,63;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Protector de Cama;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000963;CHICCO CHAMPU ORIGINAL 200 ML;1000;3000;CS;198,00;134252,79;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000963;CHICCO CHAMPU ORIGINAL 200 ML;1001;3000;CS;698,00;414118,76;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000964;CHICCO CHAMPU MANZANILLA 200 ML;1001;3000;CS;722,00;471410,12;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000965;CHICCO LOCION 200 ML;1001;3000;CS;262,00;147631,33;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000968;CHICCO JABON LIQUIDO 200 ML;1000;3000;CS;350,00;254049,77;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000968;CHICCO JABON LIQUIDO 200 ML;1001;3000;CS;410,00;244792,61;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000969;CHICCO TALCO 200 G;1000;3000;CS;60,17;60915,48;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000969;CHICCO TALCO 200 G;1001;3000;CS;448,00;483329,92;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000970;CHICCO COLONIA 220 ML;1000;3000;CS;1528,00;740483,67;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
