Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector;TextAlm;TextCent
70000805;PREF VERDE 29,64 MAQ SOFT DRI CR-8828;1300;3000;PZA;9459,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Short Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000817;PREFORMAS TRANSP 25G MAQ RESINA R1 MEGAP;1300;3000;PZA;13600,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000821;BOTELLAS TRANSP AGUA 0,5L (48 Und) Ecomm;1300;3009;PZA;4272,00;0,000;0,000;20.02.2026 - 22:03:45;BOTELLAS GASEOSAS;Licores;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000822;PREFORMAS TRANSP 16,56 G(1881PCO)BIG BAG;1300;3000;PZA;370502,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Short Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000824;PREFORMAS TRANSP 20,79G (PCO1881)BIG BAG;1300;3000;PZA;394128,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000826;PREFORMAS TRANSP 29,64G(1881PCO)BIG BAG;1300;3000;PZA;359442,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Short Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000831;TAPA PCO 1881 BLANCA S/IMP (3500);1300;3000;CS;15,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Short Finish;Tapas PT;3000-ProdTerminado WM;1300-Proyectos PET
70000837;PREFORMAS 16,56GR CR-8828F MAQ SOFT DRI;1300;3000;PZA;198340,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;1300;2000;PZA;0,00;68000,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;2000-Producción;1300-Proyectos PET
70000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;1300;3000;PZA;680000,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
